Status,City,State,Country,Classification,Product Type,Recalling Firm,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Termination Date
Terminated,Greenville,SC,United States,Class II,Drugs,Pharmaceutical Associates Inc,"Nystatin Oral Suspension, USP 100,000 units per mL Cherry/Peppermint Flavor, 16 fl oz (473 mL)  Rx Only, pai, Pharmaceutical Associates, Inc. Greenville, SC 29605. NDC 0121-0810-16",6288  16 oz bottles,Subpotent: Out of specification for assay at the 12-month time point.,20200114,20210603
Terminated,Anaheim,CA,United States,Class II,Drugs,"Preferred Pharmaceuticals, Inc.","Nature-Throid, 1 Grain, 65 mg (Thyroid U.S.P. 1 gr. (65mg)/Liothyronine (T3) 9mcg/Levothyroxine (T4) 38mcg, packaged in a) 90-count bottles (NDC 68788-7604-09), b) 100-count tablets (NDC 68788-7604-01), Rx Only, Mfg: RLC Labs; Cave Creek, AZ, Preferred Pharmaceuticals, Inc.",N/A,CGMP Deviations,20200902,20240425
Terminated,Richmond,VA,United States,Class II,Drugs,Mckesson Medical-Surgical Inc. Corporate Office,"Bicillin L-A (Penicillin G Benzathine) 1.2, MMU / 2 mL Injection Prefilled Syringe 2 mL, Rx only, Mfg: Pfizer Pharmaceuticals, NDC 60793-0701-10",70 vials,cGMP Deviations: Products were stored outside the drug label specifications.,20240207,20240814
Terminated,Colchester,VT,United States,Class II,Drugs,"Edge Pharma, LLC","Edetate Disodium (EDTA), Sterile Ophthalmic Solution, (PF) 3%, 10mL per dropper, Single Dose Droptainer for Topical Ophthalmic Use, Edge Pharma, LLC, 856 Hercules Dr., Colchester, VT, 05446, NDC 05446-1428-10",,Lack of Assurance of Sterility,20211206,20230607
Terminated,Miami,FL,United States,Class II,Drugs,"Efficient Laboratories, Inc.","New! Rompe Pecho MAX Multi Symptoms, 8 FL. Oz (237 mL) bottle, Distributed by: Efficient Laboratories, Inc. Miami, FL 33166. UPC 0 00856 00309 5",4080 8 FL Oz bottles,Microbial Contamination of Non-Sterile Products,20200131,20201022
Terminated,Parsippany,NJ,United States,Class II,Drugs,Teva Pharmaceuticals USA,"Haloperidol Decanoate Injection, USP 50 mg/mL, 1 mL Single Dose Vials, Rx Only, Sterile, 10 Vials, Teva Pharmaceuticals, USA, Inc., North Wales, PA NDC 00703-7121-03",3150 vials,Lack of Assurance of Sterility,20210426,20240604
Terminated,Anaheim,CA,United States,Class II,Drugs,"Preferred Pharmaceuticals, Inc.","Nature-Throid, 1/2 Grain, 32.5 mg (Thyroid U.S.P. 1/2 gr. (32.5 mg)/Liothyronine (T3) 4.5mcg/Levothyroxine (T4) 19mch, 100-count tablets, Rx Only, Mfg: RLC Labs; Cave Creek, AZ, Preferred Pharmaceuticals, Inc. NDC 68788-9283-01",N/A,CGMP Deviations,20200902,20240425
Terminated,Dublin,OH,United States,Class II,Drugs,Cardinal Health Inc.,"ERYTHROMYCIN TABLETS, USP 250MG 30; NDC/UPC 69238-1484-3; RX; TABLETS",135 CARTON,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,20210315,20240617
Terminated,Pennington,NJ,United States,Class II,Drugs,Zydus Pharmaceuticals (USA) Inc,"Fulvestrant Injection 250mg/5mL (50 mg/mL), Contains 2 Single-Dose Prefilled Syringes, Rx Only, Product of India, Manufactured by: Cadila Healthcare Limited, Ahmadabad, India, Distributed by: Zydus Pharmaceuticals (USA ) Inc.m Pennington, NJ 08534, NDC 70710-1688-8.",1116 boxes,Failed Impurities/Degradation Specifications,20220715,20240618
Terminated,Dawsonville,GA,United States,Class II,Drugs,Direct Rx,"Glimepiride, USP, 1 mg Tablets, Rx Only, Packaged as a a) 30-count bottle, NDC 61919-0723-30; b) 90-count bottle, NDC 61919-0723-90 Packaged and Distributed By: Direct Rx, Dawsonville, GA 30534",30 count: 4 bottles; 90 count: 172 bottles,cGMP deviations,20230313,20240617
Terminated,Fayetteville,AR,United States,Class II,Drugs,OurPharma LLC,"FentaNYL Citrate 2.5 mg/50 mL (50mcg/ml) Injection Solution, Preservative Free, Single Use 50 ml Cassette, Rx Only, Repackaged by OurPharma, LLC. 2512 S. City Lake Rd. Fayetteville, AR 72701, 1-833-290-2654, NDC 73013-001-01",691 cassettes,Underfilled units.,20221129,20240920
Terminated,El Paso,TX,United States,Class I,Drugs,"CareFusion 213, LLC","ChloraPrep One-Step 2% w/v chlorhexidine gluconate (CHG) and 70% v/v isopropyl alcohol (IPA) Non-Sterile Solution -Clear, 0.10 fl. oz. (3ml) each, 25 applicators per carton, applicator is sterile if package is intact. CareFusion El Paso, TX 79912, NDC 054365-400-01 Cat. No. 260400","11,115,774 cartons","Microbial Contamination of Non-Sterile Product.Product is being recalled because at labeled storage conditions of 30*C/75% Relative Humidity, growth of Aspergillus penicillioides, a type of fungus, resulted in a breach of the package integrity.",20210319,20220929
Terminated,Levittown,PA,United States,Class I,Drugs,Torrent Pharma Inc,"Anagrelide Capsules, USP 1 mg, 100 capsules, Rx only, Manufactured in India for: Torrent Pharma Inc., Basking Ridge, NJ 07920 NDC 13668-462-01",2496 Bottles,Failed Dissolution Specifications,20201125,20221228
Terminated,Windsor,CT,United States,Class II,Drugs,"SCA Pharmaceuticals, LLC","labetalol HCl 20 mg/4mL Injection, (Concentration=5 mg/mL), 4 mL fill Syringe, Rx Only, SCA Pharma, 755 Rainbow Rd., Windsor, CT 06095, NDC 70004-0700-28, Bar Code 70004070028","2,458, syringes",Lack of Assurance of Sterility,20231109,20240827
Terminated,West Columbia,SC,United States,Class II,Drugs,Nephron Sterile Compounding Center LLC,"Calcium Gluconate Injection, USP 10%, 0.465 mEq Ca++/mL, 1 g/10 mL (100 mg/mL), 10 mL Pre-Filled Syringe, 5 x 10 Pre-filled Syringes, 6 x 5 Syringe Carton, Rx Only, Nephron 503B outsourcing facility, 4500 12th St. Extension, West Columbia, SC 29172, NDC: 69374-950-10",30180 syringes,Lack of Assurance of Sterility,20220518,20240823
Terminated,Los Angeles,CA,United States,Class II,Drugs,"Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceutical","Selenium Injection, SELENIUM  200MCG/ML INJECTABLE, For IV Use, 30 mL Multi-dose Vial, Rx only, Axia Pharmaceutical 1990 Westwood Blvd. Ste 135, Los Angeles, CA 90025; NDC 71283-0227-3",N/A,Lack of Assurance of Sterility,20200115,20231207
Terminated,Princeton,NJ,United States,Class II,Drugs,"Dr. Reddy's Laboratories, Inc.","Lansoprazole Delayed-Release Orally Disintegrating Tablets, 15 mg, 100-count blisters per carton, 10 Packs of 10 Tablets Each, Rx Only, Distributed by: Dr. Reddy's Laboratories, Inc., Princeton, NJ 08540, Made in India, blister barcode 4359856079, NDC 43598-560-78","2,892 cartons",FAILED DISSOLUTION SPECIFICATIONS,20220713,20231206
Terminated,Parsippany,NJ,United States,Class III,Drugs,Teva Pharmaceuticals USA Inc,"Alprostadil Injection USP 500 mcg/mL, 1 mL Single Dose Vial, 5 vials per Carton, Rx Only, Carton NDC 0703-1501-02, Distributed by: Teva Pharmaceuticals USA, Inc., Parsippany, NJ 07054,  Vial NDC 0703-1501-01",3109 cartons,Failed Impurities/Degradation Specifications; out-of-specification results for impurities obtained during routine stability testing,20220518,20231208
Terminated,Parsippany,NJ,United States,Class I,Drugs,Ferring Pharmaceuticals Inc,"STIMATE (desmopressin acetate) Nasal Spray1.5 mg/mL, 2.5 mL glass vial with spray cap, Rx only, Manufactured for: CSL Behring LLC, King of Prussia, PA 19406-0901; By: Ferring GmbH, Kiel, Germany, NDC 0053-6871-00","29,371 nasal sprays",Superpotent Drug,20200721,20231013
Terminated,Buena,NJ,United States,Class III,Drugs,"Teligent Pharma, Inc.","Erythromycin Topical Gel, 2%, Net Wt. (a) 30 g,(NDC 52565-033-30) (b) 60 g,(NDC 52565-033-60) Rx Only, Manufactured by: Teligent Pharma, Inc. , Buena, NJ 08310,","22,824 tubes",Failed Impurities/Degradation Specifications,20210622,20240703
Terminated,Allegan,MI,United States,Class II,Drugs,Perrigo Company PLC,"CVS Allergy Relief, Fexofenadine Hydrochloride Tablets, 60 mg Antihistamine,  12HR, packaged as a) 12 count bottle, NDC 59779-425-53, UPC 0 50428 25414 1; b)24 count bottle, NDC 59779-425-62, UPC 0 50428 53435 9; Distributed by: CVS Pharmacy, Inc. One CVS Drive, Woonsocket, RI 02895, Made in Czech Republic","138,144 containers",Failed Impurities/Degradation Specifications; Out of specification result obtained for impurity A during stability testing.,20210727,20221108
Terminated,Monterey Park,CA,United States,Class II,Drugs,Herbal Doctor Remedies,"Phlegm Off, 500mg Capsules, 90-count bottles, Distributed by Herbal Doctor Remedies Alhambra, CA 91801-7081 USA, 1(800) 600-0808",N/A,CGMP Deviations: These products have been found to be misbranded as unapproved new drugs,20200324,20240125
Terminated,Richmond,VA,United States,Class II,Drugs,Mckesson Medical-Surgical Inc. Corporate Office,"Intralipid (I.V. Fat emulsion), 20%, 250 mL bag, Rx only, MFG: Baxter Healthcare, NDC 0338-0519-09",5 cases,cGMP deviations: Temperature abuse,20220413,20231130
Terminated,Canonsburg,PA,United States,Class II,Drugs,Viatris Inc,"Ampicillin for Injection, USP, 2 grams/vial NDC 67457-352-02, packaged in 10 x 2 g vials per carton NDC 67457-352-10, Rx only, Mylan Manufactured in India for: Mylan Institutional LLC Rockford, IL 61103 U.S.A","3,931 cartons",Presence of Particulate Matter: A complaint was received for the presence of a single strand of hair in one vial.,20220921,20231031
Terminated,San Antonio,TX,United States,Class II,Drugs,"Vita Pharmacy, LLC dba Talon Compounding Pharmacy","IC B COMPLEX INJ  INJECTABLE, Rx only, Talon Compounding Pharmacy, 2950 Thousand Oaks Drive Ste 25, San Antonio, Texas 78247",1 vial,Lack of assurance of sterility,20211012,20231004
Terminated,Englewood,CO,United States,Class III,Drugs,"Denver Solutions, LLC DBA Leiters Health","VANCOmycin HCI PF, 1.5 g added to 0.9% Sodium Chloride 250 mL IV Bag, Rx only, Leiters Compounding Health, 13796 Compark Blvd, Englewood, CO 80112, NDC 71449-029-68.","25,908 IV bags",Labeling: Not Elsewhere Classified,20231004,20240815
Terminated,New Paltz,NY,United States,Class II,Drugs,Ultra Seal Corporation,"Pain & Sinus Reliever Pain Reliever/Nasal Decongestant (acetaminophen 500mg, Phenylephrine HCl 5mg) 2 tablet packets, Mfg for Advanced First Aid, Baltimore, MD 21237, NDC 67060-194-68","887,000 packets",cGMP deviations,20220124,20231016
Terminated,Hawthorne,NY,United States,Class I,Drugs,"Taro Pharmaceuticals U.S.A., Inc.","Lamotrigine Tablets, USP, 100 mg, Rx Only, 100-count bottle,  Mfd. by: Taro Pharmaceutical Industries Ltd. Haifa Bay, Israel 2624761 Dist. by: Taro Pharmaceuticals U.S.A., Inc. Hawthorne, NY 10532, NDC 51672-4131-1.",,Cross Contamination; Lamotrigine Tablets 100 mg USP was contaminated with enalapril maleate.,20191220,20240223
Terminated,East Windsor,NJ,United States,Class III,Drugs,Aurobindo Pharma USA Inc.,"Olanzapine Tablets, USP 7.5 mg, 30-count bottle, Rx only, Manufactured for: Prasco Laboratories Mason, OH 45040 USA, Manufactured by: Aurolife Pharma LLC Dayton, NJ 08810, NDC 66993-682-30",7547 bottles,Failed Impurities/ Degradation Specifications,20200526,20230110
Terminated,Port Charlotte,FL,United States,Class II,Drugs,The Medicine Shoppe Pharmacy,"Paregoric Compound (contains Morphine) Solution 480 mL bottle, Rx, The Medicine Shoppe Pharmacy, Port Charlotte, FL",1 bottle,Lack of Processing Control,20200406,20221213
Terminated,Princeton,NJ,United States,Class III,Drugs,"Dr. Reddy's Laboratories, Inc.","QC QUALITY CHOICE, Fexofenadine HCl 60mg and Pseudoephedrine HCl 120mg, Extended-Release Tablets, USP,  Allergy & Congestion, 10 Tablets per box, NDC 63868-729-10, Distributed by C.D.M.A., Inc., 43157 W 9 Mile Rd, Novi, MI 48375, Made in India.","9,984 boxes",Failed Dissolution Specifications,20220104,20231020
Terminated,Houston,TX,United States,Class II,Drugs,Assurance Infusion,BUP 10MG/ FENT 1000MCG/ML  INJ in 20 mL syringe  Assurance Infusion (713) 533-8800,1 syringe,Lack of sterility assurance.,20191220,20211027
Terminated,Plainsboro,NJ,United States,Class II,Drugs,Macleods Pharma Usa Inc,"Losartan Potassium Tablets, USP, 50 mg, a) 30-count bottles (NDC # 33342-045-07), b) 90-count bottles (NDC # 33342-045-10), c) 1000-count bottles (NDC # 33342-045-44), Rx Only, MFR: Macleods Pharma USA, Inc. Plainsboro, NJ 08536","3216/30 count bottles; 47,904/90 count bottles; 4269/1000 count bottles = 8,676,840 tablets",CGMP Deviations- AZIDO Impurity levels observed to be above acceptable limits,20220415,20231013
Terminated,Berkeley Springs,WV,United States,Class III,Drugs,"Washington Homeopathic Products, Inc.","Sp-4, 100 mL solution bottles, Rx only, Washington Homeopathic Products, Inc.260 J R Hawvermale Way  Berkeley Springs West Virginia 25411",114 bottles,An error occurred where the product was manufactured with Potassium Chloride instead of Potassium Phosphate.,20210318,20210513
Terminated,Richmond,VA,United States,Class II,Drugs,Mckesson Medical-Surgical Inc. Corporate Office,"Metronidazole tablets, USP 250 mg, 100-count unit dose box, Rx only, MFG: Major Pharma, NDC 0904-1453-61",3 boxes/100 blisters per box,cGMP deviations: Temperature abuse,20220413,20231130
Terminated,Dublin,OH,United States,Class II,Drugs,Cardinal Health Inc.,"Proctofoam HC (hydrocortisone acetate 1% and pramoxine hydrochloride 1%) topical aerosol 10 g net wt Rx Only NDC 0037-6822-10 Distributed by: Meda Pharmaceutical Inc. Somerset, New Jersey",834 aerosol containers,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,20210315,20240617
Terminated,Port Charlotte,FL,United States,Class II,Drugs,The Medicine Shoppe Pharmacy,"Bi-Est 1:1/Progest/DHEA 0.5 mg/180 mg/25 mg/mL Cream 30 mL jar, Rx, The Medicine Shoppe Pharmacy, Port Charlotte, FL",1 tube,Lack of Processing Control,20200406,20221213
Terminated,Cincinnati,OH,United States,Class II,Drugs,The Procter & Gamble Company,"Secret OUTLAST Dry Spray, (Aluminum chlorohydrate 23.5%), Antiperspirant, Protecting Powder, Topical spray can 3.8 oz (107 g), Dist. by: Procter & Gamble, Cincinnati, OH 45202. NDC: 69423-478-10, UPC 0 37000 74772 7",unknown,CGMP Deviation; manufactured at the same facility where other lots were found to be contaminated with benzene,20211123,20241001
Terminated,Anaheim,CA,United States,Class II,Drugs,"Preferred Pharmaceuticals, Inc.","Alprazolam Tablets, USP 1mg, Generic for Xanax, Pkg Size: a) 30 tablets per bottle, NDC: 68788-6381-03, b) 60 tablets per bottle, NDC: 68788-6381-06, c) 90 tablets per bottle, NDC: 68788-6381-09, Mfg: Par Pharmaceutical.",276 bottles,CGMP deviations,20220222,20230505
Terminated,Colchester,VT,United States,Class II,Drugs,"Edge Pharma, LLC","MVASI, (bevacizumab-awwb), Sterile Ophthalmic Solution for Injection, 3.25mg/0.13mL (25 mg/mL) 0.13 mL per syringe, Dose: 1.25mg/0.05mL, Single Use Syringe For Intraocular Injection, Edge Pharma, LLC, 856 Hercules Dr. Colchester, VT 05446,  NDC 05446-1661-13",199 syringes,Lack of Assurance of Sterility,20211206,20230607
Terminated,Buena,NJ,United States,Class II,Drugs,"Teligent Pharma, Inc.","Betamethasone Dipropionate Lotion USP, 0.05% (Augmented), 30 mL bottle, (29 g), Rx Only,  Teligent Pharma Inc., Buena, NJ, 08310, NDC 52565-023-29","3,792 bottles","Failed Stability Specifications: lot did not meet specification for the Active Pharmaceutical Ingredient (API) particle test, which was determined through routine stability testing",20210823,20240816
Terminated,Erie,PA,United States,Class II,Drugs,Pharmacy Innovations,"Atropine sulfate 0.05%, 1ML dropper, and Atropine sulfate 0.01%, 1 ML dropper, Rx Only, Pharmacy Innovations, 2936 W 17th St., Erie, PA.",N/A,Lack of Assurance of Sterility: FDA inspection revealed insanitary conditions at the facility.,20221222,20240731
Terminated,Wilton,CT,United States,Class I,Drugs,Beiersdorf Inc,"Coppertone SPORT MINERAL 50 Sunscreen Spray (To Deliver) Zinc Oxide 24.08%, NET WT 5 OZ (142 g) can, Beiersdorf Inc., Wilton, CT 06897  UPC 0 72140 02870 1","142,236 cans",Chemical contamination; presence of benzene,20210930,20230413
Terminated,Parsippany,NJ,United States,Class II,Drugs,Ascend Laboratories LLC,"Olmesartan Medoxomil Tablets 20 mg, Rx Only, 90 Tablets per Bottle, Manufactured by: Alkem Laboratories Ltd., Mumbai - 400 013 INDIA, Distributed by: Ascend Laboratories, LLC Parsippany, NJ 07054, NDC 67877-446-90.",192 Bottles,cGMP Deviations; Olmesartan Medoximil Tablets 20 mg was released in error with alternate API source prior to filing and approval of Prior Approval Supplement.,20200124,20211029
Terminated,Tonawanda,NY,United States,Class II,Drugs,"Pine Pharmaceuticals, LLC","Lidocaine-phenylephrine 1%-1.5% 1mL Single Dose Vial, Rx only, Compounded by Pine Pharmaceuticals 355 Riverwalk Parkway, Tonawanda, NY 14150.",9673 vials,Lack of Assurance of Sterility,20231002,20240515
Terminated,Allegan,MI,United States,Class II,Drugs,L. Perrigo Company,"allergy relief, Fexofenadine Hydrochloride Tablets, 180 mg, packaged in a)15-count cartons (NDC 11673-617-22), b)30-count cartons (NDC 11673-617-39), c)70-count cartons (NDC 11673-617-01), and d)150-count cartons (11673-617-47), Distributed by: Target Corporation, Minneapolis, MN 55403.","208,416 cartons",Failed Impurities/Degradation Specifications,20230209,20230911
Terminated,Allegan,MI,United States,Class II,Drugs,L. Perrigo Company,"Allergy Relief, Fexofenadine Hydrochloride Tablets, 180 mg, packaged in a) 30-count cartons (NDC 36800-691-39), b)45-count cartons (NDC  36800-691-95), and 90-count cartons (NDC 36800-691-75), Distributed by: Topco Associates LLC, Elk Grove Village, IL 60007.","44,280 cartons",Failed Impurities/Degradation Specifications,20230209,20230911
Terminated,Sterling,VA,United States,Class II,Drugs,Northern VA Compounders PLLC,"TriMix Injection (PGE1/Papaverine HCl/Phentolamine Mesylate) 60mcg/30mg/3mg/mL INJECTABLE, 2.5 mL Multiple-Dose vials, Rx Only, Compounded by: Akina Pharmacy, 23475 Rock Haven Way Suite 105, Sterling, VA  20166.",2 vials,Lack of Assurance of Sterility,20221230,20230621
Terminated,Parsippany,NJ,United States,Class II,Drugs,Teva Pharmaceuticals USA,"Cephalexin for Oral Suspension, USP 250 mg per 5 mL, For Reconstitution, For Oral Use Only, Rx Only, a) 100 mL bottle when mixed, NDC 0093-4177-73, b) 200 mL bottle when mixed, NDC 0093-4177-74, Teva Pharmaceuticals USA, Inc., North Wales, PA 19454.","1,467,535 bottles",CGMP deviations; there is a possibility that some bottles in these lots may have the active ingredient above and/or below specification limits.,20200824,20211216
Terminated,Statesville,NC,United States,Class II,Drugs,Family Pharmacy of Statesville,"Lorazepam 1 mg/mL Infusion Solution in 250 mL bags, Rx only, Family Pharmacy of Statesville, Inc.",1 bag,Lack of Assurance of Sterility,20200806,20230815
Terminated,South Richmond Hill,NY,United States,Class II,Drugs,MasterPharm LLC,"Progesterone 150 mg Troche, 30 troches MasterPharm, 115-02 Liberty Ave, Richmond Hill, NY 11419, (866) 630-5600",330 troches,Lack of Processing Controls (lack of assurance of conformity to specifications).,20200702,20240223
Terminated,San Antonio,TX,United States,Class II,Drugs,"Vita Pharmacy, LLC dba Talon Compounding Pharmacy","TRI-MIX PAPAVERINE 30/PHENTOLAMINE 0.25/PGE-1 6 INJ  INJECTABLE, Rx only, Talon Compounding Pharmacy, 2950 Thousand Oaks Drive Ste 25, San Antonio, Texas 78247",1 vial,Lack of assurance of sterility,20211012,20231004
Terminated,Richmond,VA,United States,Class II,Drugs,Mckesson Medical-Surgical Inc. Corporate Office,"Pataday, Once Daily Relief, Olopatadine hydrochloride ophthalmic solution 0.2%, Antihistamine, Eye Allergy Itch Relief, Once Daily, Sterile, 2.5 mL (0.085 FL OZ) bottle per box, Alcon, NDC 0065-8150-01.",1 box,CGMP Deviations: products were stored outside the drug label specifications.,20220629,20240213
Terminated,Mooresville,NC,United States,Class III,Drugs,Bestco LLC,"Open Nature Cough Drops Menthol-Cough Suppressant/Oral Anesthetic Peppermint Naturally Flavored, packaged in Bags of 30 lozenges, Distributed By Lucerne Foods, Inc. P.O. Box 99, Pleasanton, CA 96566-0009, UPC 0 79893 41266 5",2038 bags,Subpotent drug: Low OOS for menthol content at the three month room temperature.,20220427,20240105
Terminated,Baltimore,MD,United States,Class II,Drugs,Lupin Pharmaceuticals Inc.,"Lisinopril Tablets USP, 10 mg, 1000 count bottles, Manufactured by: Lupin Limited, Nagpur INDIA, For BluePoint Laboratories NDC 68001-334-08","11,688 bottles","Presence of Foreign Tablets/Capsules: Lisinopril Tablets USP, 20mg found in a 1000 count bottle of Lisinopril Tablets USP, 10mg",20200717,20210826
Terminated,Tonawanda,NY,United States,Class II,Drugs,"Pine Pharmaceuticals, LLC","Cefuroxime 4mg /0.4 mL (10 mg/mL), 1mL syringe, Rx only, Compounded by: Pine Pharmaceuticals 355 Riverwalk Parkway, Tonawanda, NY 14150.",4972 syringes,Lack of Assurance of Sterility,20231002,20240515
Terminated,Dawsonville,GA,United States,Class II,Drugs,Direct Rx,"Simvastatin, USP, 5 mg Tablets, Rx Only, Packaged as a 90-count bottle, NDC 61919-0710-90 Packaged and Distributed By: Direct Rx, Dawsonville, GA 30534",51 bottles,cGMP deviations,20230313,20240617
Terminated,Richmond,VA,United States,Class II,Drugs,Mckesson Medical-Surgical Inc. Corporate Office,"Miralax (Polyethylene Glycol 3350), Powder for Solution, Osmotic Laxative, 30 Once-Daily Doses, Net WT 17.9 OZ (510 g) bottle, Bayer Healthcare Pharmaceuticals, NDC 11523-7234-4.",67 bottles,CGMP Deviations: products were stored outside the drug label specifications.,20220629,20240213
Terminated,Los Angeles,CA,United States,Class II,Drugs,"Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceutical","AscorbiX (Buffered C) Injection, Ascorbix (50ML) 500MG/ML Injectable, For IV, IM, SC Use, Refrigerate, 30 mL Multi-dose Vial, Rx only, Axia Pharmaceutical 1990 Westwood Blvd. Ste 135, Los Angeles, CA 90025; NDC 71283-0226-5",N/A,Lack of Assurance of Sterility,20200115,20231207
Terminated,Parsippany,NJ,United States,Class III,Drugs,Teva Pharmaceuticals USA,"Romidepsin Injecton, 27.5 mg/5.5 mL (5 mg/mL) Rx Only, 5.5 ml vial, Teva Pharmaceuticals USA, Inc. NDC 0703-4004-01","1,416 vials",Failed Impurity/Degradation Specifications: Out-of-specifications results observed for impurities during stability testing.,20210304,20220519
Terminated,Columbus,OH,United States,Class III,Drugs,American Health Packaging,"Cyanocobalamin Injection, USP, 1000 mcg per mL, For Intramuscular or Subcutaneous Use Only, 25 x 1 mL Vials, Rx only, Manufactured by: Eugia Pharma Specialties Limited, Hyderabad India for BluePoint Laboratories. NDC for Carton: 68001-509-60; NDC for vial: 68001-509-59","97,975 vials",Subpotent Drug: Out of specification for assay.,20220412,20221228
Terminated,San Antonio,TX,United States,Class II,Drugs,"Vita Pharmacy, LLC dba Talon Compounding Pharmacy","TRI-MIX PAPAVERINE 18/PHENTOL 0.6/PGE-1 5.88/ML INJ   INJECTABLE, Rx only, Talon Compounding Pharmacy, 2950 Thousand Oaks Drive Ste 25, San Antonio, Texas 78247",2 vials,Lack of assurance of sterility,20211012,20231004
Terminated,Dublin,OH,United States,Class II,Drugs,Cardinal Health Inc.,"Vaniqa (eflornithine hydrochloride) Cream, 13.9% For Topical Use Only Net wt. 1.59 oz (45 g) Rx only NDC 0023-4857-45 Manufactured for Allegan, Inc. Irvine, CA 92612",72 tubes,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,20210315,20240617
Terminated,San Antonio,TX,United States,Class II,Drugs,"Vita Pharmacy, LLC dba Talon Compounding Pharmacy","SERMORELIN ACETATE 6MG/IPAMORELIN 6MG - LYOPHILIZED   6MG/6MG VIAL, Rx only, Talon Compounding Pharmacy, 2950 Thousand Oaks Drive Ste 25, San Antonio, Texas 78247",11 vials,Lack of assurance of sterility,20211012,20231004
Terminated,Baltimore,MD,United States,Class II,Drugs,Lupin Pharmaceuticals Inc.,"Memantine Hydrochloride Extended Release Capsules, 21 mg, 30-count bottles, Rx Only, Manufactured for: Lupin Pharmaceuticals, Inc. Baltimore, Maryland 21202 United States. Manufactured by: Lupin Limited Pithampur (M.P.)-454 775, INDIA, NDC 68180-248-06","6,294 bottles",Failed Dissolution Specifications: Low out of specification results observed in dissolution test at six-month long-term stability study.,20200212,20210603
Terminated,Columbus,OH,United States,Class III,Drugs,American Health Packaging,"Nabumetone Tablets, USP, 500 mg, 100 Tablets per carton (10 tablets x 10 blister cards), Rx only, Distributed by: American Health Packaging, Columbus, Ohio 43217, NDC carton: 60687-374-01, NDC unit dose: 60687-374-11",265 cartons,Labeling Not Elsewhere Classified: The statement  Pharmacist: Dispense with the accompanying Medication Guide  was not included on the carton label.,20200610,20220803
Terminated,Durham,NC,United States,Class II,Drugs,"Accord Healthcare, Inc.","Montelukast Sodium Tablets, USP, 10 mg* Rx Only, Packaged as: a) 30-count bottle NDC 16729-119-10 UPC 3 16729 11910 8; b) 90-count bottle NDC 16729-119-15 UPC 3 16729 11915 3; c) 1,000-count bottle NDC 16729-119-17 UPC 3 16729 11917 7; Manufactured for: Accord Healthcare, Inc., Durham, NC 27703. Manufactured by: Intas Pharmaceuticals Limited, Pharmez, Ahmedabad-382 213, INDIA","665,469 bottles",CGMP Deviations: recalling drug products following an FDA inspection.,20230207,20240422
Terminated,San Antonio,TX,United States,Class II,Drugs,"Vita Pharmacy, LLC dba Talon Compounding Pharmacy","CJC-1295 4MG/IPAMORELIN 4MG VIAL 4MG/4MG INJECTABLE, Rx only, Talon Compounding Pharmacy, 2950 Thousand Oaks Drive Ste 25, San Antonio, Texas 78247",15 vials,Lack of assurance of sterility,20211012,20231004
Terminated,Plainsboro,NJ,United States,Class II,Drugs,Novo Nordisk Inc,"Saxenda (liraglutide) Injection, 18 mg/3 mL (6 mg/mL), 1 x 3 mL Prefilled Pen, Sample. Not for Resale., Rx only, Novo Nordisk Inc., Plainsboro, NJ 08536, Manufactured by: Novo Nordisk A/S, Bagsvaerd, Denmark,  NDC 0169-2800-90 (Pen), NDC 0169-2800-97 (Kit)",N/A,Temperature Abuse: product samples were stored at temperatures below 32* F which is not in accordance with storage requirements that could cause a lack of efficacy and damage to the cartridge and pen-injectors.,20210322,20221209
Terminated,Rahway,NJ,United States,Class II,Drugs,Merck Sharp & Dohme,"Zerbaxa (ceftolozane and tazobactam) 1.5g per vial for injection, Single-Dose vial, Rx only, Manuf. for: Merck Sharp & Dohme Corp. a subsidiary of Merck & Co., Inc., NDC 67919-030-01","106,503 vials","Lack of assurance of sterility: The results of sterility tests of seven batches of product were out of specification. Five of these batches tested positive for Ralstonia pickettii and two batches produced turbid results that could not be further identified. While all product distributed to the market has met the registered specifications for release, including for sterility, it was manufactured on the same equipment as the affected batches.",20201221,20231204
Terminated,Lewisburg,TN,United States,Class I,Drugs,"Tennessee Technical Coatings, Corp.","HAND SANITIZER Isopropyl Alcohol Antiseptic 75%, Net contents: 1 U.S. Gallon/3.785 Liters  Tennessee Technical Coatings Corporation, 1421 Higgs Road (P.O. Box 1698) Lewisburg, TX 37091, NDC 76921-000-01",169.2 gallons,"Chemical Contamination: FDA analysis found 1 lot of   HAND SANITIZER Isopropyl Alcohol Antiseptic 75%, to contain methanol.",20220303,20221202
